val_season,n_train_seasons,n_train_rows,n_val_rows,mae_model,mae_naive
2022-23,2,48362,25727,1.0258052999208198,1.121543288230896
2023-24,3,74089,28860,0.9508778850848661,1.013365387916565
2024-25,4,102949,26801,1.047443619643252,1.1008152961730957
2025-26,5,129750,28916,0.9652244271032551,1.0593911409378052
