player_key,career_ppg,career_min_pg,career_start_rate,career_xgi90
11948,0.0,0.0,0.0,
11974,0.0,0.0,0.0,
14937,0.5405405405405406,14.027027027027026,0.13513513513513514,0.0
15157,0.7284768211920529,16.841059602649008,0.1456953642384106,0.14410651571187635
17601,0.0,0.0,0.0,
17745,0.0,0.0,0.0,
17761,3.2781456953642385,86.10596026490066,0.9536423841059603,0.11900436556231689
18507,1.064516129032258,39.83870967741935,0.3548387096774194,0.14160927891264088
18892,2.265486725663717,53.823008849557525,0.584070796460177,0.08050204685075749
19236,0.0,0.0,0.0,
19624,1.5135135135135136,47.91891891891892,0.43243243243243246,0.07125482531456752
20066,0.08602150537634409,2.913978494623656,0.03225806451612903,0.00033
20310,0.0,0.0,0.0,
20467,1.1891891891891893,28.2972972972973,0.32432432432432434,0.27091385062216483
20480,0.0,0.0,0.0,
21205,0.0,0.0,0.0,
28411,2.5294117647058822,90.0,1.0,0.0
32259,0.0,0.0,0.0,
37096,1.2837837837837838,33.729729729729726,0.3581081081081081,4.833333333333333e-05
37642,0.7545454545454545,24.8,0.2636363636363636,0.056406575758985396
37915,1.1866666666666668,29.4,0.32,0.0003136
39155,0.831858407079646,16.884955752212388,0.09734513274336283,0.24796939668152898
40145,0.08108108108108109,0.4864864864864865,0.0,0.01875
40146,0.0,0.0,0.0,
40349,0.12162162162162163,1.2162162162162162,0.013513513513513514,0.0
40383,0.44696969696969696,13.977272727272727,0.15151515151515152,3.333333333333333e-06
40386,0.21621621621621623,8.54054054054054,0.05405405405405406,0.06323529411764706
40669,0.84,24.906666666666666,0.26666666666666666,0.01773814814814815
40836,1.32,32.4,0.36,0.0003333333333333334
41328,0.6,20.28,0.18666666666666668,0.04052023757733637
44683,1.0810810810810811,21.513513513513512,0.16216216216216217,0.5214823147440795
44699,0.13513513513513514,0.9459459459459459,0.0,0.8250000000000001
45034,1.3333333333333333,29.293333333333333,0.29333333333333333,0.28316072988971297
45124,0.5882352941176471,17.941176470588236,0.058823529411764705,0.2073087924661151
45220,0.0,0.0,0.0,
47247,0.08108108108108109,2.4054054054054053,0.0,0.41746710526315794
47431,2.6547619047619047,52.69047619047619,0.5595238095238095,0.4022026026035696
48615,0.0,0.0,0.0,
48760,0.6727272727272727,19.845454545454544,0.21818181818181817,0.14674381495786518
49083,0.0,0.0,0.0,
49262,0.7682119205298014,20.264900662251655,0.2251655629139073,0.0
49413,0.13333333333333333,4.533333333333333,0.02666666666666667,0.09348618742368743
50175,2.781456953642384,51.86092715231788,0.543046357615894,0.4976655548413059
